CellImage,,Top 250 Arras Scores of All Time       ,,,,,,,,,,,,,,,,,,
,Rank,Score,Name,Tank,,Gamemode,Info,Proof,working on it...,,,,,,,,,,Date,Server
,128,8685803,byekc,CellImage,Overlord,4TDM,,https://cdn.discordapp.com/attachments/904322106207121448/977276527479771226/unknown.png,2,3,9,7,7,7,0,7,0,0,11th May 2022,EUROPE
,129,8643569,Marcus,CellImage,Overlord,2TDM,,https://imgur.com/a/90HdDrY,,,,,,,,,,,,
,130,8631304,Skrialik,CellImage,Auto Overseer,4TDM,,https://imgur.com/a/ab0WZDx,,,,,,,,,,,,
,131,8619700,Smiley,CellImage,Destroyer,4TDM,,https://imgur.com/a/aEKAbjg,,,,,,,,,,,,
,132,8604466,Nyrox,CellImage,Auto Smasher,2TDM,,https://imgur.com/a/Q20RDf1,,,,,,,,,,,,
,133,8523960,ExC,CellImage,Shotgun,2TDM,TBR,https://media.discordapp.net/attachments/1146076487875821578/1149111728546779206/image.png,,,,,,,,,,,,
,134,8505828,🎋,CellImage,Landmine,2TDM,,https://media.discordapp.net/attachments/1119046479055691808/1142394110511165532/d4a2abf6-09ec-4f56-96be-2e8f0cce4440.png,,,,,,,,,,,,
,135,8498114,Lamp,CellImage,Manager,2TDM,,https://imgur.com/a/RagDDus,,,,,,,,,,,,
,136,8463785,Mr.Hacker YT,CellImage,Ranger,2TDM,,https://imgur.com/gallery/wtYZgfh,,,,,,,,,,,,
,137,8440849,Vangu,CellImage,Bomber,4TDM,,https://imgur.com/a/V04ayJi,,,,,,,,,,,,
,138,8432982,Corrupt Y,CellImage,Bent Double,2TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1022725741626015764/Screenshot_423.png,,,,,,,,,,,,
,139,8425280,Para,CellImage,Armsman,2TDM,,https://imgur.com/gallery/wpfro1Q,,,,,,,,,,,,
,140,8398505,bean,CellImage,Fighter,4TDM,Legacy,https://imgur.com/a/fl82NLN,,,,,,,,,,,,
,141,8384128,Awootube,CellImage,Manager,Portal TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1099093084307988550/screenshot_-_2023-04-21T174616.253.png,,,,,,,,,,,,
,142,8377046,Skrialik,CellImage,Overdrive,4TDM,,https://imgur.com/a/TLLyeD0,,,,,,,,,,,,
,143,8344968,Ö.,CellImage,Mega Smasher,4TDM,Legacy,https://imgur.com/a/un0HoEd,,,,,,,,,,,,
,144,8333724,zo,CellImage,Streamliner,4TDM,,https://imgur.com/a/JHXjzF9,,,,,,,,,,,,
,145,8268140,Skrialik,CellImage,Auto Overseer,4TDM,,https://imgur.com/a/Q7cXao1,,,,,,,,,,,,
,146,8261135,ια,CellImage,Auto Overseer,2TDM,,https://imgur.com/gallery/TwABFHF,,,,,,,,,,,,
,147,8253075,bum,CellImage,Predator,2TDM,,https://imgur.com/a/DefXlhW,,,,,,,,,,,,
,148,8217163,Heatherly,CellImage,Auto Cruiser,2TDM,,https://imgur.com/a/L8fSwkK,,,,,,,,,,,,
,149,8204253,Roman,CellImage,Manager,2TDM,,https://imgur.com/a/zicLKBH,,,,,,,,,,,,
,150,8183444,duc,CellImage,Manager,2TDM,,https://cdn.discordapp.com/attachments/559793341143711767/1113845667840933918/8.18m_manager_proof.png,,,,,,,,,,,,
,151,8182540,Slade,CellImage,Fortress,Squads,,https://cdn.discordapp.com/attachments/928174021592383489/1127068247846563860/screenshot_-_2022-10-19T210321.png,,,,,,,,,,,,
